Step,UniqueWords
1,6
2,19
3,34
4,45
5,55
6,68
7,78
8,86
9,93
10,100
11,108
12,116
13,127
14,138
15,140
16,146
17,157
18,170
19,178
20,186
21,191
22,204
23,207
24,214
25,221
26,226
27,234
28,237
29,242
30,251
31,262
32,272
33,281
34,287
35,289
36,296
37,308
38,314
39,319
40,325
41,331
42,336
43,351
44,357
45,362
46,368
47,368
48,376
49,383
50,390
51,390
52,397
53,399
54,409
55,415
56,422
57,426
58,429
59,435
60,441
61,445
62,449
63,457
64,461
65,468
66,470
67,476
68,482
69,492
70,499
71,505
72,507
73,509
74,512
75,517
76,522
77,525
78,529
79,535
80,541
81,545
82,552
83,556
84,558
85,562
86,564
87,565
88,570
89,574
90,575
91,580
92,588
93,597
94,606
95,617
96,620
97,629
98,634
99,638
100,640
101,646
102,648
103,653
104,657
105,662
106,671
107,677
108,680
109,685
110,692
111,699
112,703
113,706
114,706
115,708
116,711
117,714
118,717
119,725
120,725
121,727
122,733
123,734
124,740
125,745
126,749
127,754
128,754
129,757
130,757
131,759
132,766
133,773
134,776
135,783
136,787
137,793
138,793
139,795
140,803
141,806
142,809
143,813
144,815
145,822
146,829
147,830
148,838
149,839
150,842
151,842
152,849
153,851
154,859
155,860
156,861
157,865
158,866
159,871
160,874
161,882
162,892
163,895
164,899
165,900
166,902
167,906
168,907
169,915
170,919
171,921
172,925
173,932
174,934
175,937
176,938
177,940
178,944
179,950
180,954
181,958
182,965
183,966
184,970
185,975
186,978
187,982
188,982
189,986
190,987
191,992
192,1000
193,1009
194,1010
195,1011
196,1014
197,1016
198,1020
199,1022
200,1025
201,1029
202,1033
203,1038
204,1042
205,1043
206,1046
207,1050
208,1056
209,1059
210,1059
211,1059
212,1064
213,1067
214,1071
215,1076
216,1083
217,1088
218,1089
219,1092
220,1098
221,1103
222,1103
223,1106
224,1115
225,1116
226,1117
227,1123
228,1123
229,1126
230,1130
231,1132
232,1139
233,1141
234,1141
235,1143
236,1146
237,1151
238,1155
239,1158
240,1160
241,1162
242,1167
243,1170
244,1177
245,1180
246,1184
247,1189
248,1190
249,1193
250,1198
251,1200
252,1202
253,1202
254,1204
255,1205
256,1209
257,1214
258,1218
259,1225
260,1229
261,1230
262,1231
263,1240
264,1244
265,1250
266,1257
267,1258
268,1259
269,1260
270,1263
271,1267
272,1272
273,1274
274,1277
275,1281
276,1281
277,1285
278,1288
279,1290
280,1290
281,1294
282,1297
283,1300
284,1303
285,1305
286,1310
287,1313
288,1315
289,1318
290,1325
291,1325
292,1327
293,1332
294,1334
295,1337
296,1339
297,1345
298,1347
299,1349
300,1352
301,1356
302,1360
303,1361
304,1361
305,1368
306,1368
307,1373
308,1379
309,1381
310,1385
311,1389
312,1389
313,1389
314,1394
315,1396
316,1398
317,1403
318,1406
319,1407
320,1411
321,1415
322,1422
323,1431
324,1433
325,1434
326,1437
327,1439
328,1444
329,1447
330,1449
331,1452
332,1454
333,1455
334,1459
335,1461
336,1461
337,1463
338,1467
339,1472
340,1475
341,1479
342,1479
343,1484
344,1486
345,1486
346,1487
347,1487
348,1488
349,1489
350,1494
351,1496
352,1498
353,1499
354,1499
355,1502
356,1505
357,1505
358,1507
359,1508
360,1508
361,1509
362,1510
363,1510
364,1511
365,1513
366,1514
367,1516
368,1517
369,1518
370,1518
371,1518
372,1523
373,1524
374,1527
375,1528
376,1529
377,1531
378,1534
379,1536
380,1542
381,1543
382,1543
383,1543
384,1546
385,1549
386,1551
387,1552
388,1556
389,1559
390,1559
391,1560
392,1564
393,1564
394,1564
395,1567
396,1569
397,1571
398,1577
399,1582
400,1586
401,1588
402,1588
403,1590
404,1595
405,1595
406,1598
407,1600
408,1604
409,1607
410,1609
411,1612
412,1612
413,1617
414,1620
415,1624
416,1624
417,1625
418,1625
419,1628
420,1630
421,1632
422,1634
423,1635
424,1637
425,1638
426,1641
427,1644
428,1651
429,1654
430,1658
431,1659
432,1661
433,1662
434,1667
435,1669
436,1670
437,1672
438,1675
439,1675
440,1681
441,1682
442,1685
443,1685
444,1685
445,1686
446,1689
447,1689
448,1692
449,1693
450,1695
451,1697
452,1699
453,1699
454,1701
455,1704
456,1704
457,1706
458,1708
459,1709
460,1711
461,1721
462,1722
463,1724
464,1724
465,1725
466,1726
467,1728
468,1730
469,1735
470,1738
471,1738
472,1741
473,1742
474,1742
475,1747
476,1753
477,1753
478,1756
479,1759
480,1761
481,1761
482,1764
483,1765
484,1772
485,1775
486,1776
487,1776
488,1778
489,1781
490,1784
491,1789
492,1792
493,1795
494,1797
495,1800
496,1802
497,1809
498,1813
499,1813
500,1815
501,1818
502,1820
503,1822
504,1823
505,1824
506,1825
507,1827
508,1831
509,1834
510,1837
511,1838
512,1840
513,1842
514,1843
515,1845
516,1851
517,1853
518,1853
519,1853
520,1853
521,1854
522,1856
523,1859
524,1859
525,1862
526,1864
527,1864
528,1864
529,1868
530,1871
531,1876
532,1877
533,1882
534,1886
535,1886
536,1886
537,1886
538,1888
539,1890
540,1892
541,1892
542,1892
543,1893
544,1895
545,1897
546,1898
547,1900
548,1904
549,1905
550,1906
551,1911
552,1915
553,1918
554,1920
555,1923
556,1927
557,1933
558,1934
559,1934
560,1935
561,1935
562,1940
563,1942
564,1942
565,1944
566,1945
567,1945
568,1945
569,1947
570,1947
571,1947
572,1950
573,1952
574,1955
575,1960
576,1960
577,1962
578,1963
579,1965
580,1970
581,1972
582,1975
583,1976
584,1981
585,1985
586,1986
587,1989
588,1990
589,1991
590,1993
591,1994
592,1998
593,2004
594,2004
595,2005
596,2006
597,2006
598,2009
599,2009
600,2009
601,2009
602,2009
603,2012
604,2015
605,2020
606,2021
607,2022
608,2023
609,2023
610,2025
611,2025
612,2025
613,2028
614,2031
615,2033
616,2037
617,2038
618,2040
619,2041
620,2043
621,2045
622,2047
623,2048
624,2051
625,2052
626,2057
627,2057
628,2062
629,2063
630,2063
631,2064
632,2066
633,2066
634,2067
635,2067
636,2070
637,2073
638,2073
639,2074
640,2076
641,2079
642,2082
643,2083
644,2086
645,2089
646,2094
647,2096
648,2096
649,2100
650,2101
651,2101
652,2101
653,2105
654,2105
655,2108
656,2110
657,2113
658,2114
659,2116
660,2117
661,2119
662,2123
663,2125
664,2128
665,2129
666,2130
667,2135
668,2136
669,2136
670,2136
671,2142
672,2143
673,2147
674,2152
675,2152
676,2155
677,2157
678,2161
679,2165
680,2168
681,2169
682,2170
683,2171
684,2172
685,2177
686,2178
687,2178
688,2179
689,2181
690,2183
691,2184
692,2188
693,2188
694,2188
695,2193
696,2193
697,2195
698,2200
699,2200
700,2201
701,2203
702,2203
703,2205
704,2206
705,2206
706,2208
707,2209
708,2210
709,2210
710,2210
711,2210
712,2211
713,2218
714,2218
715,2219
716,2220
717,2220
718,2223
719,2224
720,2224
721,2225
722,2227
723,2228
724,2229
725,2229
726,2231
727,2234
728,2238
729,2240
730,2241
731,2243
732,2246
733,2250
734,2250
735,2250
736,2251
737,2251
738,2252
739,2253
740,2255
741,2255
742,2256
743,2256
744,2257
745,2259
746,2260
747,2261
748,2262
749,2262
750,2263
751,2266
752,2269
753,2269
754,2271
755,2273
756,2274
757,2276
758,2279
759,2279
760,2283
761,2284
762,2284
763,2284
764,2287
765,2287
766,2287
767,2287
768,2287
769,2288
770,2294
771,2294
772,2296
773,2298
774,2298
775,2298
776,2302
777,2302
778,2302
779,2304
780,2308
781,2308
782,2315
783,2315
784,2315
785,2316
786,2319
787,2319
788,2319
789,2319
790,2326
791,2329
792,2330
793,2337
794,2342
795,2343
796,2344
797,2346
798,2346
799,2348
800,2351
801,2352
802,2353
803,2356
804,2360
805,2364
806,2366
807,2367
808,2368
809,2370
810,2373
811,2373
812,2378
813,2378
814,2379
815,2380
816,2381
817,2384
818,2388
819,2388
820,2390
821,2392
822,2393
823,2397
824,2400
825,2402
826,2406
827,2408
828,2409
829,2415
830,2417
831,2418
832,2419
833,2420
834,2420
835,2421
836,2424
837,2424
838,2425
839,2425
840,2426
841,2426
842,2426
843,2429
844,2430
845,2430
846,2433
847,2435
848,2437
849,2440
850,2441
851,2442
852,2443
853,2445
854,2449
855,2450
856,2451
857,2452
858,2452
859,2453
860,2454
861,2454
862,2458
863,2458
864,2459
865,2460
