Step,UniqueWords
1,10
2,21
3,28
4,40
5,55
6,67
7,72
8,80
9,89
10,96
11,106
12,114
13,121
14,131
15,139
16,147
17,154
18,165
19,183
20,191
21,207
22,223
23,234
24,240
25,246
26,249
27,257
28,266
29,276
30,280
31,286
32,298
33,307
34,313
35,318
36,322
37,332
38,341
39,347
40,352
41,356
42,365
43,375
44,385
45,390
46,400
47,405
48,411
49,419
50,427
51,437
52,442
53,448
54,454
55,466
56,472
57,480
58,486
59,497
60,505
61,514
62,516
63,522
64,527
65,534
66,541
67,554
68,559
69,565
70,569
71,576
72,579
73,589
74,594
75,601
76,607
77,615
78,620
79,622
80,627
81,632
82,634
83,645
84,651
85,654
86,662
87,669
88,673
89,676
90,681
91,683
92,688
93,689
94,695
95,696
96,705
97,711
98,717
99,721
100,730
101,735
102,739
103,743
104,748
105,750
106,752
107,754
108,758
109,762
110,770
111,775
112,781
113,783
114,785
115,789
116,795
117,805
118,810
119,817
120,818
121,827
122,834
123,840
124,842
125,849
126,851
127,856
128,857
129,860
130,861
131,865
132,871
133,872
134,878
135,886
136,888
137,894
138,895
139,897
140,902
141,911
142,912
143,919
144,920
145,921
146,927
147,932
148,932
149,935
150,942
151,949
152,951
153,958
154,965
155,965
156,969
157,971
158,986
159,995
160,1002
161,1008
162,1011
163,1017
164,1021
165,1023
166,1026
167,1030
168,1033
169,1039
170,1041
171,1047
172,1053
173,1056
174,1057
175,1065
176,1065
177,1066
178,1069
179,1074
180,1079
181,1080
182,1081
183,1087
184,1091
185,1099
186,1103
187,1108
188,1113
189,1114
190,1121
191,1131
192,1134
193,1138
194,1144
195,1146
196,1148
197,1156
198,1157
199,1159
200,1163
201,1166
202,1170
203,1174
204,1180
205,1181
206,1188
207,1189
208,1193
209,1198
210,1205
211,1207
212,1208
213,1214
214,1220
215,1223
216,1225
217,1231
218,1233
219,1234
220,1237
221,1237
222,1240
223,1240
224,1244
225,1247
226,1251
227,1253
228,1255
229,1257
230,1263
231,1265
232,1268
233,1271
234,1272
235,1274
236,1275
237,1278
238,1282
239,1283
240,1288
241,1288
242,1288
243,1291
244,1291
245,1293
246,1293
247,1294
248,1298
