Step,UniqueWords
1,17
2,25
3,35
4,48
5,60
6,74
7,85
8,94
9,106
10,115
11,128
12,136
13,147
14,160
15,166
16,172
17,181
18,185
19,193
20,201
21,209
22,219
23,224
24,229
25,239
26,248
27,258
28,262
29,268
30,276
31,283
32,296
33,301
34,305
35,313
36,320
37,328
38,336
39,342
40,345
41,355
42,367
43,373
44,380
45,386
46,396
47,402
48,411
49,418
50,422
51,428
52,432
53,441
54,444
55,449
56,460
57,463
58,471
59,481
60,489
61,492
62,500
63,505
64,510
65,521
66,528
67,532
68,536
69,543
70,548
71,556
72,561
73,567
74,575
75,581
76,584
77,586
78,592
79,598
80,604
81,609
82,615
83,619
84,626
85,629
86,634
87,637
88,641
89,649
90,653
91,659
92,670
93,672
94,678
95,684
96,691
97,694
98,700
99,704
100,711
101,719
102,724
103,731
104,736
105,739
106,743
107,748
108,750
109,752
110,755
111,763
112,768
113,773
114,780
115,782
116,793
117,797
118,804
119,810
120,811
121,817
122,823
123,828
124,831
125,838
126,844
127,849
128,854
129,857
130,864
131,869
132,877
133,878
134,885
135,887
136,890
137,896
138,899
139,902
140,904
141,909
142,911
143,914
144,918
145,921
146,928
147,935
148,936
149,938
150,941
151,945
152,952
153,953
154,959
155,962
156,969
157,975
158,982
159,986
160,990
161,996
162,1000
163,1003
164,1007
165,1008
166,1010
167,1017
168,1022
169,1025
170,1031
171,1035
172,1041
173,1047
174,1051
175,1053
176,1056
177,1062
178,1065
179,1069
180,1076
181,1079
182,1084
183,1085
184,1092
185,1095
186,1099
187,1102
188,1104
189,1107
190,1112
191,1117
192,1121
193,1123
194,1127
195,1131
196,1136
197,1141
198,1146
199,1149
200,1153
201,1156
202,1160
203,1164
204,1169
205,1172
206,1179
207,1184
208,1189
209,1195
210,1199
211,1204
212,1208
213,1213
214,1216
215,1219
216,1220
217,1225
218,1234
219,1237
220,1238
221,1242
222,1248
223,1250
224,1251
225,1251
226,1254
227,1262
228,1265
229,1266
230,1273
231,1280
232,1285
233,1292
234,1293
235,1297
236,1299
237,1299
238,1305
239,1307
240,1311
241,1314
242,1318
243,1322
244,1325
245,1328
246,1333
247,1342
248,1344
249,1353
250,1354
251,1357
252,1358
253,1360
254,1362
255,1365
256,1365
257,1369
258,1374
259,1380
260,1383
261,1386
262,1390
263,1396
264,1399
265,1401
266,1405
267,1409
268,1413
269,1418
270,1423
271,1426
272,1431
273,1434
274,1440
275,1443
276,1446
277,1449
278,1451
279,1456
280,1460
281,1461
282,1462
283,1467
284,1469
285,1471
286,1475
287,1475
288,1477
289,1478
290,1482
291,1485
292,1488
293,1492
294,1497
295,1500
296,1505
297,1505
298,1509
299,1511
300,1515
301,1521
302,1523
303,1528
304,1535
305,1537
306,1540
307,1543
308,1545
309,1549
310,1550
311,1552
312,1554
313,1558
314,1562
315,1565
316,1568
317,1573
318,1577
319,1579
320,1580
321,1583
322,1585
323,1589
324,1592
325,1594
326,1595
327,1598
328,1602
329,1604
330,1609
331,1611
332,1614
333,1617
334,1621
335,1625
336,1627
337,1631
338,1632
339,1633
340,1634
341,1637
342,1644
343,1646
344,1646
345,1648
346,1655
347,1658
348,1660
349,1663
350,1666
351,1668
352,1669
353,1672
354,1678
355,1681
356,1687
357,1689
358,1694
359,1698
360,1702
361,1706
362,1708
363,1708
364,1714
365,1722
366,1724
367,1726
368,1732
369,1732
370,1739
371,1739
372,1741
373,1746
374,1750
375,1751
376,1758
377,1762
378,1762
379,1765
380,1768
381,1771
382,1772
383,1773
384,1774
385,1776
386,1779
387,1785
388,1789
389,1790
390,1793
391,1797
392,1798
393,1799
394,1799
395,1805
396,1806
397,1808
398,1815
399,1818
400,1818
401,1825
402,1829
403,1833
404,1836
405,1839
406,1842
407,1844
408,1847
409,1848
410,1849
411,1851
412,1854
413,1855
414,1857
415,1860
416,1861
417,1867
418,1869
419,1875
420,1877
421,1880
422,1884
423,1889
424,1890
425,1895
426,1895
427,1899
428,1901
429,1904
430,1904
431,1907
432,1909
433,1910
434,1911
435,1911
436,1915
437,1918
438,1919
439,1920
440,1926
441,1927
442,1930
443,1931
444,1933
445,1936
446,1937
447,1939
448,1943
449,1944
450,1946
451,1948
452,1953
453,1961
454,1962
455,1964
456,1968
457,1968
458,1972
459,1973
460,1976
461,1976
462,1978
463,1980
464,1982
465,1983
466,1984
467,1987
468,1989
469,1989
470,1990
471,1994
472,1996
473,1998
474,2002
475,2006
476,2007
477,2007
478,2009
479,2014
480,2017
481,2018
482,2021
483,2023
484,2024
485,2028
486,2032
487,2033
488,2036
489,2038
490,2041
491,2042
492,2044
493,2049
494,2050
495,2055
496,2057
497,2064
498,2066
499,2068
500,2070
501,2074
502,2074
503,2079
504,2082
505,2082
506,2084
507,2087
508,2090
509,2092
510,2093
511,2093
512,2095
513,2099
514,2101
515,2104
516,2106
517,2108
518,2111
519,2113
520,2117
521,2118
522,2121
523,2123
524,2126
525,2127
526,2127
527,2130
528,2131
529,2135
530,2138
531,2140
532,2140
533,2141
534,2141
535,2141
536,2145
537,2147
538,2155
539,2160
540,2161
541,2164
542,2169
543,2173
544,2176
545,2180
546,2183
547,2183
548,2183
549,2186
550,2189
551,2190
552,2191
553,2191
554,2193
555,2193
556,2194
557,2196
558,2199
559,2204
560,2204
561,2206
562,2206
563,2211
564,2214
565,2216
566,2217
567,2218
568,2223
569,2225
570,2228
571,2231
572,2235
573,2240
574,2241
575,2246
576,2250
577,2252
578,2255
579,2257
580,2257
581,2261
582,2263
583,2263
584,2264
585,2265
586,2266
587,2267
588,2269
589,2271
590,2276
591,2279
592,2281
593,2281
594,2284
595,2290
596,2293
597,2294
598,2296
599,2297
600,2300
601,2302
602,2306
603,2308
604,2313
605,2313
606,2314
607,2315
608,2320
609,2323
610,2323
611,2325
612,2325
613,2325
614,2327
615,2330
616,2330
617,2338
618,2338
619,2343
620,2346
621,2349
622,2352
623,2355
624,2359
625,2360
626,2363
627,2366
628,2368
629,2369
630,2371
631,2376
632,2378
633,2378
634,2379
635,2382
636,2388
637,2388
638,2392
639,2392
640,2396
641,2399
642,2401
643,2403
644,2403
645,2405
646,2405
647,2407
648,2408
649,2410
650,2411
651,2412
652,2416
653,2416
654,2419
655,2420
656,2423
657,2429
658,2432
659,2433
660,2433
661,2436
662,2437
663,2441
664,2443
665,2444
666,2445
667,2448
668,2451
669,2452
670,2456
671,2461
672,2465
673,2466
674,2472
675,2475
676,2479
677,2481
678,2482
679,2482
680,2486
681,2486
682,2486
683,2489
684,2491
685,2491
686,2493
687,2496
688,2498
689,2503
690,2503
691,2503
692,2504
693,2505
694,2509
695,2511
696,2514
697,2520
698,2523
699,2523
700,2523
701,2530
702,2533
703,2535
704,2540
705,2543
706,2543
707,2545
708,2547
709,2547
710,2549
711,2552
712,2552
713,2552
714,2554
715,2554
716,2554
717,2556
718,2557
719,2557
720,2557
721,2558
722,2560
723,2560
724,2562
725,2563
726,2564
727,2565
728,2565
729,2567
730,2571
731,2573
732,2576
733,2577
734,2580
735,2588
736,2589
737,2589
738,2591
739,2591
740,2591
741,2592
742,2592
743,2593
744,2595
745,2596
746,2597
747,2600
748,2601
749,2606
750,2607
751,2610
752,2612
753,2613
754,2616
755,2619
756,2621
757,2622
758,2622
759,2627
760,2628
761,2630
762,2636
