Step,UniqueWords
1,28
2,84
3,100
4,107
5,117
6,134
7,141
8,152
9,162
10,177
11,185
12,205
13,213
14,217
15,229
16,241
17,248
18,256
19,282
20,288
21,293
22,301
23,355
24,359
25,364
26,369
27,376
28,378
29,381
30,384
31,394
32,398
33,402
34,406
35,410
36,413
37,418
38,424
39,430
40,431
41,436
42,445
43,451
44,454
45,462
46,462
47,465
48,474
49,480
50,481
51,488
52,492
53,496
54,502
55,505
56,522
57,524
58,529
59,531
60,535
61,536
62,539
63,540
64,541
65,548
66,550
67,554
68,558
69,562
70,569
71,581
72,583
73,585
74,588
75,596
76,605
77,610
78,618
79,622
80,623
81,626
82,630
83,638
84,643
85,648
86,652
87,654
88,659
89,661
90,662
91,663
92,669
93,671
94,675
95,676
96,704
97,709
98,710
99,717
100,720
101,743
102,745
103,747
104,753
105,759
106,762
107,769
108,775
109,778
110,783
111,783
112,787
113,793
114,796
115,796
116,818
117,822
118,827
119,838
120,846
121,847
122,856
123,862
124,884
125,889
126,896
127,899
128,903
129,904
130,905
131,906
132,910
133,911
134,912
135,920
136,921
137,923
138,929
139,931
140,936
141,942
142,956
143,960
144,964
145,965
146,968
147,968
148,972
149,972
150,973
151,974
152,975
153,976
154,977
155,978
156,980
157,981
158,987
159,990
160,993
161,993
162,999
163,1006
164,1009
165,1020
166,1023
167,1029
168,1034
169,1038
170,1048
171,1049
172,1051
173,1058
174,1062
175,1064
176,1065
177,1068
178,1068
179,1070
180,1076
181,1078
182,1103
183,1107
184,1113
185,1116
186,1120
187,1120
188,1123
189,1124
190,1134
191,1136
192,1140
193,1146
194,1153
195,1154
196,1156
197,1156
198,1158
199,1165
200,1167
201,1168
202,1170
203,1171
204,1174
205,1176
206,1177
207,1179
208,1180
209,1183
210,1188
211,1192
212,1194
213,1199
214,1200
215,1208
216,1210
217,1214
218,1217
219,1223
220,1227
221,1228
222,1229
223,1233
224,1236
225,1237
226,1240
227,1241
228,1241
229,1247
230,1252
231,1252
232,1259
233,1263
234,1266
235,1269
236,1272
237,1275
238,1277
239,1281
240,1284
241,1285
242,1286
243,1286
244,1288
245,1291
246,1292
247,1294
248,1296
249,1297
250,1298
251,1301
252,1307
253,1309
254,1311
255,1312
256,1317
257,1318
258,1331
259,1335
260,1335
261,1337
262,1339
263,1339
264,1344
265,1344
266,1349
267,1352
268,1352
269,1354
270,1357
271,1360
272,1364
273,1368
274,1369
275,1376
276,1390
277,1394
278,1396
279,1399
280,1400
281,1404
282,1411
283,1411
284,1412
285,1416
286,1417
287,1420
288,1422
289,1430
290,1430
291,1439
292,1440
293,1443
294,1448
295,1448
296,1449
297,1451
298,1458
299,1462
300,1463
301,1466
302,1469
303,1469
304,1482
305,1484
306,1494
307,1497
308,1497
309,1498
310,1503
311,1503
312,1504
313,1507
314,1509
315,1510
316,1511
317,1514
318,1518
319,1519
320,1519
321,1529
322,1533
323,1534
324,1537
325,1547
326,1552
327,1554
328,1554
329,1556
330,1558
331,1558
332,1559
333,1567
334,1569
335,1569
336,1572
337,1572
338,1573
339,1578
340,1580
341,1581
342,1581
343,1583
344,1587
345,1591
346,1594
347,1595
348,1597
349,1599
350,1599
351,1605
352,1610
353,1613
354,1617
355,1618
356,1619
357,1621
358,1621
359,1622
360,1627
361,1629
362,1632
363,1635
364,1635
365,1637
366,1638
367,1640
368,1642
369,1643
370,1651
371,1657
372,1659
373,1661
374,1663
375,1669
376,1669
377,1672
378,1673
379,1677
380,1679
381,1683
382,1684
383,1684
384,1685
385,1687
386,1689
387,1690
388,1699
389,1702
390,1706
391,1706
392,1710
393,1712
394,1712
395,1713
396,1722
397,1730
398,1730
399,1734
400,1740
401,1740
402,1741
403,1743
404,1743
405,1745
406,1753
407,1753
408,1754
409,1755
410,1757
411,1761
412,1761
413,1765
414,1767
415,1782
416,1789
417,1791
418,1792
419,1792
420,1795
421,1796
422,1798
423,1800
424,1801
425,1803
426,1803
427,1806
428,1806
429,1808
430,1810
431,1812
432,1815
433,1815
434,1816
435,1818
436,1819
437,1820
438,1821
439,1828
440,1828
441,1831
442,1834
443,1834
444,1835
445,1838
446,1842
447,1843
448,1845
449,1847
450,1851
451,1854
452,1858
453,1862
454,1867
455,1868
456,1871
457,1872
458,1876
459,1878
460,1885
461,1888
462,1889
463,1894
464,1895
465,1900
466,1902
467,1902
468,1903
469,1906
470,1907
471,1907
472,1908
473,1911
474,1912
475,1914
476,1915
477,1917
478,1917
479,1919
480,1919
481,1920
482,1923
483,1923
484,1924
485,1926
486,1928
487,1930
488,1931
489,1931
490,1935
491,1937
492,1939
493,1940
494,1941
495,1941
496,1941
497,1943
498,1944
499,1946
500,1946
501,1954
502,1957
503,1958
504,1959
505,1960
506,1960
507,1961
508,1961
509,1963
510,1965
511,1965
512,1967
513,1967
514,1967
515,1968
516,1970
517,1971
518,1971
519,1972
