Step,UniqueWords
1,11
2,29
3,40
4,54
5,61
6,76
7,97
8,104
9,117
10,121
11,129
12,136
13,145
14,159
15,174
16,182
17,188
18,198
19,201
20,212
21,220
22,230
23,239
24,250
25,258
26,276
27,278
28,286
29,290
30,298
31,307
32,317
33,325
34,329
35,335
36,338
37,344
38,347
39,356
40,359
41,365
42,368
43,375
44,379
45,385
46,404
47,409
48,415
49,418
50,423
51,430
52,443
53,450
54,464
55,468
56,474
57,480
58,485
59,489
60,501
61,522
62,525
63,533
64,536
65,542
66,548
67,550
68,556
69,563
70,565
71,567
72,572
73,583
74,585
75,591
76,594
77,600
78,604
79,609
80,616
81,619
82,624
83,628
84,631
85,635
86,637
87,648
88,649
89,649
90,654
91,660
92,661
93,675
94,679
95,684
96,718
97,721
98,726
99,733
100,734
101,735
102,737
103,754
104,757
105,760
106,767
107,771
108,772
109,773
110,775
111,782
112,785
113,791
114,797
115,799
116,799
117,800
118,800
119,803
120,809
121,812
122,817
123,822
124,827
125,833
126,836
127,838
128,840
129,847
130,849
131,853
132,856
133,859
134,867
135,871
136,874
137,883
138,885
139,885
140,894
141,897
142,902
143,906
144,907
145,911
146,913
147,918
148,922
149,926
150,929
151,931
152,935
153,937
154,940
155,949
156,953
157,958
158,962
159,965
160,974
161,978
162,982
163,987
164,994
165,996
166,1009
167,1013
168,1013
169,1026
170,1032
171,1037
172,1042
173,1045
174,1049
175,1053
176,1056
177,1056
178,1064
179,1072
180,1074
181,1082
182,1084
183,1089
184,1091
185,1095
186,1100
187,1102
188,1105
189,1109
190,1114
191,1117
192,1120
193,1127
194,1134
195,1139
196,1144
197,1148
198,1149
199,1152
200,1153
201,1156
202,1157
203,1164
204,1165
205,1166
206,1169
207,1172
208,1179
209,1180
210,1182
211,1186
212,1189
213,1193
214,1198
215,1202
216,1208
217,1209
218,1218
219,1219
220,1220
221,1222
222,1225
223,1229
224,1235
225,1237
226,1239
227,1240
228,1245
229,1250
230,1272
231,1273
232,1278
233,1294
234,1296
235,1300
236,1304
237,1305
238,1305
239,1312
240,1314
241,1319
242,1322
243,1323
244,1324
245,1328
246,1329
247,1331
248,1334
249,1337
250,1350
251,1352
252,1354
253,1357
254,1360
255,1365
256,1370
257,1371
258,1371
259,1374
260,1376
261,1378
262,1379
263,1382
264,1385
265,1386
266,1388
267,1392
268,1400
269,1402
270,1404
271,1412
272,1413
273,1415
274,1419
275,1422
276,1427
277,1427
278,1431
279,1435
280,1438
281,1441
282,1443
283,1446
284,1450
285,1450
286,1453
287,1457
288,1463
289,1466
290,1471
291,1473
292,1474
293,1474
294,1477
295,1479
296,1479
297,1481
298,1494
299,1501
300,1503
301,1505
302,1515
303,1515
304,1519
305,1521
306,1525
307,1545
308,1546
309,1546
310,1547
311,1554
312,1557
313,1562
314,1569
315,1569
316,1574
317,1576
318,1579
319,1582
320,1584
321,1591
322,1594
323,1596
324,1599
325,1606
326,1612
327,1613
328,1614
329,1617
330,1619
331,1619
332,1623
333,1625
334,1625
335,1630
336,1632
337,1634
338,1638
339,1639
340,1640
341,1649
342,1650
343,1653
344,1654
345,1654
346,1658
347,1664
348,1667
349,1672
350,1674
351,1675
352,1679
353,1682
354,1685
355,1686
356,1692
357,1693
358,1695
359,1697
360,1698
361,1698
362,1698
363,1702
364,1704
365,1706
366,1708
367,1711
368,1711
369,1713
370,1713
371,1715
372,1716
373,1720
374,1721
375,1721
376,1722
377,1724
378,1724
379,1728
380,1728
381,1730
382,1732
383,1734
384,1734
385,1735
386,1745
387,1747
388,1752
389,1752
390,1753
391,1757
392,1758
393,1762
394,1763
395,1764
396,1766
397,1766
398,1767
399,1775
400,1782
401,1787
402,1788
403,1790
404,1794
405,1799
406,1801
407,1803
408,1809
409,1809
410,1811
411,1815
412,1817
413,1818
414,1819
415,1823
416,1825
417,1828
418,1828
419,1829
420,1832
421,1836
422,1837
423,1841
424,1844
425,1848
426,1849
427,1851
428,1852
429,1853
430,1856
431,1857
432,1857
433,1857
434,1857
435,1858
436,1858
437,1859
438,1860
439,1869
440,1870
441,1872
442,1873
443,1874
444,1874
445,1875
446,1879
447,1879
448,1880
449,1884
450,1884
451,1886
452,1888
453,1890
454,1890
455,1892
456,1894
457,1895
458,1896
459,1898
460,1899
461,1902
462,1903
463,1904
464,1904
465,1904
466,1905
467,1907
468,1911
469,1913
470,1913
471,1914
472,1914
473,1916
474,1919
475,1920
476,1920
