Step,UniqueWords
1,43
2,60
3,87
4,100
5,124
6,154
7,172
8,197
9,217
10,234
11,251
12,266
13,273
14,289
15,299
16,316
17,331
18,351
19,362
20,379
21,385
22,396
23,412
24,423
25,427
26,434
27,449
28,461
29,477
30,488
31,506
32,512
33,525
34,533
35,549
36,555
37,559
38,569
39,575
40,582
41,588
42,599
43,605
44,610
45,618
46,632
47,644
48,650
49,659
50,670
51,689
52,702
53,712
54,718
55,722
56,727
57,733
58,744
59,754
60,764
61,770
62,779
63,790
64,800
65,805
66,809
67,811
68,815
69,831
70,843
71,849
72,854
73,865
74,869
75,875
76,885
77,892
78,894
79,904
80,910
81,913
82,925
83,929
84,931
85,935
86,948
87,954
88,964
89,974
90,980
91,982
92,989
93,994
94,1002
95,1013
96,1019
97,1025
98,1034
99,1036
100,1049
101,1052
102,1058
103,1064
104,1072
105,1078
106,1084
107,1085
108,1089
109,1091
110,1096
111,1100
112,1105
113,1107
114,1111
115,1115
116,1118
117,1126
118,1132
119,1134
120,1135
121,1145
122,1149
123,1171
124,1183
125,1189
126,1191
127,1195
128,1199
129,1200
130,1210
131,1222
132,1227
133,1231
134,1236
135,1239
136,1244
137,1250
138,1253
139,1262
140,1277
141,1279
142,1282
143,1296
144,1301
145,1305
146,1315
147,1319
148,1322
149,1334
150,1337
151,1343
152,1352
153,1356
154,1362
155,1373
156,1373
157,1381
158,1382
159,1384
160,1395
161,1401
162,1408
163,1411
164,1416
165,1421
166,1425
167,1430
168,1438
169,1439
170,1444
171,1447
172,1452
173,1454
174,1459
175,1465
176,1467
177,1467
178,1471
179,1475
180,1482
181,1485
182,1488
183,1490
184,1501
185,1502
186,1502
187,1503
188,1507
189,1509
190,1513
191,1519
192,1522
193,1532
194,1544
195,1547
196,1549
197,1552
198,1552
199,1553
200,1563
201,1570
202,1575
203,1577
204,1577
205,1581
206,1586
207,1593
208,1597
209,1602
210,1603
211,1605
212,1614
213,1618
214,1619
215,1625
216,1625
217,1630
218,1636
219,1640
220,1640
221,1644
222,1649
223,1660
224,1666
225,1670
226,1673
227,1678
228,1691
229,1691
230,1691
231,1695
232,1696
233,1701
234,1706
235,1711
236,1711
237,1725
238,1728
239,1734
240,1734
241,1740
242,1746
243,1749
244,1751
245,1757
246,1762
247,1768
248,1773
249,1775
250,1780
251,1781
252,1783
253,1785
254,1794
255,1797
256,1800
257,1804
258,1807
259,1810
260,1813
261,1820
262,1822
263,1824
264,1828
265,1830
266,1831
267,1832
268,1838
269,1840
270,1840
271,1848
272,1856
273,1861
274,1863
275,1871
276,1874
277,1874
278,1875
279,1878
280,1879
281,1884
282,1888
283,1895
284,1899
285,1900
286,1903
287,1903
288,1903
289,1905
290,1908
291,1909
292,1910
293,1913
294,1915
295,1918
296,1921
297,1923
298,1927
299,1931
300,1936
301,1938
302,1940
303,1945
304,1946
305,1947
306,1950
307,1953
308,1954
309,1954
310,1955
311,1960
312,1962
313,1967
314,1967
315,1972
316,1981
317,1982
318,1984
319,1985
320,1988
321,1990
322,1991
323,1995
324,1998
325,1999
326,2002
327,2005
328,2009
329,2010
330,2012
331,2013
332,2015
333,2018
334,2024
335,2024
336,2025
337,2025
338,2030
339,2035
340,2040
341,2041
342,2043
343,2046
344,2048
345,2054
346,2054
347,2056
348,2057
349,2060
350,2063
351,2064
352,2074
353,2076
354,2078
355,2081
356,2082
357,2085
358,2087
359,2089
360,2089
361,2090
362,2090
363,2092
364,2095
365,2101
366,2102
367,2102
368,2103
369,2108
370,2109
371,2111
372,2113
373,2119
374,2119
375,2121
376,2124
377,2131
378,2134
379,2139
380,2140
381,2140
382,2141
383,2144
384,2147
385,2149
386,2149
387,2151
388,2156
389,2157
390,2160
391,2161
392,2161
393,2167
394,2170
395,2173
396,2174
397,2174
398,2179
399,2184
400,2187
401,2192
402,2192
403,2192
404,2197
405,2198
406,2200
407,2204
408,2209
409,2210
410,2213
411,2217
412,2219
413,2223
414,2224
415,2225
416,2231
417,2234
418,2242
419,2252
420,2255
421,2259
422,2259
423,2260
424,2263
425,2264
426,2266
427,2269
428,2270
429,2272
430,2273
431,2282
432,2283
433,2284
434,2285
435,2286
436,2288
437,2292
438,2293
439,2296
440,2303
441,2304
442,2304
443,2306
444,2310
445,2312
446,2312
447,2316
448,2323
449,2325
450,2329
451,2330
452,2330
453,2334
454,2338
455,2340
456,2342
457,2343
458,2347
459,2350
460,2354
461,2358
462,2360
463,2362
464,2363
465,2365
466,2369
467,2369
468,2375
469,2375
470,2377
471,2378
472,2382
473,2383
474,2384
475,2388
476,2392
477,2394
478,2398
479,2399
480,2400
481,2402
482,2404
483,2404
484,2405
485,2406
486,2407
487,2408
488,2410
489,2412
490,2415
491,2417
492,2417
493,2419
494,2420
495,2421
496,2424
497,2425
498,2426
499,2428
500,2430
501,2436
502,2440
503,2447
504,2448
505,2449
506,2450
507,2454
508,2460
509,2464
510,2467
511,2467
512,2467
513,2469
514,2471
515,2477
516,2478
517,2481
518,2487
519,2488
520,2492
521,2492
522,2492
523,2492
524,2494
525,2495
526,2501
527,2503
528,2506
529,2507
530,2509
531,2516
532,2516
533,2517
534,2527
535,2530
536,2533
537,2535
538,2536
539,2538
540,2540
541,2541
542,2542
