Step,UniqueWords
1,27
2,51
3,89
4,115
5,136
6,151
7,174
8,195
9,209
10,230
11,245
12,260
13,269
14,288
15,302
16,315
17,335
18,349
19,371
20,378
21,388
22,414
23,424
24,445
25,452
26,463
27,485
28,503
29,510
30,528
31,544
32,553
33,573
34,583
35,590
36,612
37,630
38,635
39,652
40,666
41,674
42,690
43,697
44,717
45,731
46,745
47,752
48,765
49,770
50,774
51,803
52,817
53,822
54,832
55,839
56,852
57,863
58,874
59,880
60,887
61,895
62,902
63,908
64,914
65,926
66,932
67,940
68,945
69,951
70,961
71,968
72,976
73,992
74,1000
75,1013
76,1024
77,1031
78,1042
79,1048
80,1065
81,1074
82,1084
83,1096
84,1109
85,1116
86,1125
87,1135
88,1141
89,1146
90,1156
91,1170
92,1175
93,1183
94,1193
95,1199
96,1208
97,1214
98,1218
99,1230
100,1237
101,1247
102,1253
103,1259
104,1264
105,1275
106,1280
107,1282
108,1292
109,1302
110,1306
111,1312
112,1321
113,1331
114,1335
115,1342
116,1351
117,1360
118,1365
119,1371
120,1377
121,1390
122,1395
123,1406
124,1416
125,1424
126,1430
127,1434
128,1439
129,1447
130,1451
131,1459
132,1471
133,1485
134,1486
135,1497
136,1510
137,1517
138,1523
139,1531
140,1544
141,1547
142,1551
143,1557
144,1561
145,1567
146,1574
147,1584
148,1592
149,1599
150,1602
151,1605
152,1612
153,1621
154,1626
155,1633
156,1642
157,1644
158,1651
159,1658
160,1664
161,1671
162,1680
163,1687
164,1691
165,1696
166,1701
167,1707
168,1715
169,1720
170,1727
171,1738
172,1744
173,1752
174,1757
175,1762
176,1769
177,1774
178,1776
179,1781
180,1786
181,1787
182,1788
183,1792
184,1800
185,1806
186,1816
187,1825
188,1836
189,1844
190,1850
191,1858
192,1860
193,1867
194,1869
195,1879
196,1887
197,1892
198,1900
199,1907
200,1911
201,1918
202,1922
203,1925
204,1929
205,1931
206,1935
207,1941
208,1945
209,1946
210,1952
211,1954
212,1960
213,1966
214,1971
215,1972
216,1982
217,1983
218,1988
219,1991
220,1996
221,1999
222,2005
223,2006
224,2012
225,2016
226,2021
227,2030
228,2033
229,2036
230,2039
231,2043
232,2045
233,2051
234,2056
235,2058
236,2066
237,2071
238,2075
239,2077
240,2085
241,2092
242,2096
243,2102
244,2105
245,2107
246,2112
247,2119
248,2126
249,2129
250,2135
251,2138
252,2143
253,2155
254,2159
255,2164
256,2167
257,2176
258,2178
259,2178
260,2190
261,2194
262,2202
263,2209
264,2216
265,2221
266,2232
267,2240
268,2246
269,2248
270,2259
271,2268
272,2276
273,2280
274,2284
275,2289
276,2291
277,2297
278,2301
279,2304
280,2310
281,2310
282,2315
283,2319
284,2323
285,2327
286,2331
287,2333
288,2338
289,2340
290,2344
291,2347
292,2352
293,2355
294,2356
295,2360
296,2364
297,2376
298,2380
299,2382
300,2389
301,2392
302,2395
303,2399
304,2401
305,2407
306,2409
307,2410
308,2410
309,2415
310,2421
311,2430
312,2433
313,2435
314,2438
315,2442
316,2447
317,2450
318,2452
319,2460
320,2468
321,2472
322,2478
323,2479
324,2482
325,2487
326,2495
327,2499
328,2501
329,2503
330,2506
331,2511
332,2515
333,2518
334,2520
335,2526
336,2530
337,2534
338,2536
339,2536
340,2538
341,2540
342,2546
343,2546
344,2552
345,2560
346,2564
347,2567
348,2569
349,2574
350,2577
351,2578
352,2586
353,2591
354,2597
355,2602
356,2602
357,2604
358,2608
359,2614
360,2619
361,2620
362,2621
363,2624
364,2626
365,2629
366,2632
367,2633
368,2634
369,2639
370,2642
371,2643
372,2645
373,2647
374,2649
375,2650
376,2650
377,2653
378,2661
379,2664
380,2665
381,2669
382,2673
383,2676
384,2684
385,2689
386,2696
387,2702
388,2709
389,2711
390,2714
391,2716
392,2720
393,2724
394,2727
395,2732
396,2739
397,2750
398,2757
399,2764
400,2768
401,2769
402,2772
403,2778
404,2780
405,2786
406,2787
407,2790
408,2792
409,2795
410,2800
411,2806
412,2807
413,2808
414,2812
415,2816
416,2820
417,2825
418,2831
419,2835
420,2840
421,2845
422,2847
423,2851
424,2853
425,2859
426,2860
427,2866
428,2870
429,2875
430,2879
431,2881
432,2883
433,2887
434,2891
435,2894
436,2899
437,2901
438,2902
439,2904
440,2906
441,2909
442,2917
443,2926
444,2931
445,2932
446,2937
447,2941
448,2942
449,2946
450,2948
451,2948
452,2958
453,2963
454,2969
455,2971
456,2976
457,2980
458,2982
459,2991
460,2996
461,2996
462,3000
463,3005
464,3007
465,3009
466,3018
467,3021
468,3034
469,3038
470,3043
471,3048
472,3048
473,3050
474,3050
475,3053
476,3056
477,3062
478,3065
479,3068
480,3074
481,3081
482,3089
483,3093
484,3100
485,3103
486,3105
487,3107
488,3110
489,3117
490,3120
491,3126
492,3128
493,3130
494,3137
495,3141
496,3144
497,3150
498,3152
499,3154
500,3159
501,3163
502,3169
503,3173
504,3177
505,3180
506,3187
507,3193
508,3195
509,3197
510,3198
511,3204
512,3206
513,3211
514,3216
515,3218
516,3228
517,3228
518,3233
519,3236
520,3242
521,3244
522,3244
523,3248
524,3250
525,3253
526,3257
527,3263
528,3264
529,3267
530,3269
531,3274
532,3278
533,3279
534,3284
535,3287
536,3291
537,3297
538,3305
539,3309
540,3314
541,3316
542,3318
543,3320
544,3321
545,3325
546,3328
547,3332
548,3338
549,3340
550,3342
551,3345
552,3345
553,3354
554,3361
555,3365
556,3365
557,3369
558,3374
559,3378
560,3383
561,3384
562,3387
563,3393
564,3393
565,3396
566,3400
567,3404
568,3406
569,3410
570,3411
571,3411
572,3414
573,3419
574,3422
575,3425
576,3426
577,3427
578,3428
579,3436
580,3440
581,3448
582,3448
583,3448
584,3449
585,3451
586,3454
587,3459
588,3462
589,3466
590,3467
591,3467
592,3468
593,3470
594,3474
595,3476
596,3477
597,3484
598,3489
599,3496
600,3499
601,3503
602,3505
603,3507
604,3507
605,3510
606,3512
607,3516
608,3516
609,3518
610,3519
611,3519
612,3520
613,3521
614,3523
615,3524
616,3529
617,3532
618,3539
619,3539
620,3545
621,3548
622,3551
623,3556
624,3557
625,3559
626,3560
627,3566
628,3567
629,3567
630,3569
631,3571
632,3572
633,3574
634,3576
635,3578
636,3580
637,3583
638,3590
639,3592
640,3593
641,3595
642,3599
643,3605
644,3609
645,3612
646,3613
647,3613
648,3617
649,3618
650,3619
651,3620
652,3622
653,3627
654,3628
655,3632
656,3633
657,3638
658,3642
659,3646
660,3647
661,3655
662,3658
663,3659
664,3661
665,3664
666,3666
667,3667
668,3668
669,3671
670,3672
671,3675
672,3675
673,3675
674,3678
675,3679
676,3682
677,3685
678,3690
679,3693
680,3695
681,3695
682,3698
683,3703
684,3703
685,3704
686,3706
687,3706
688,3707
689,3708
690,3710
691,3714
692,3721
693,3728
694,3729
695,3730
696,3731
697,3733
698,3734
699,3735
700,3737
701,3742
702,3742
703,3747
704,3749
705,3753
706,3757
707,3760
708,3763
709,3764
710,3764
711,3765
712,3766
713,3769
714,3771
715,3773
716,3775
717,3776
718,3782
719,3783
720,3785
721,3785
722,3785
723,3788
724,3788
725,3790
726,3798
727,3800
728,3806
729,3806
730,3809
731,3814
732,3817
733,3820
734,3820
735,3825
736,3826
737,3829
738,3832
739,3834
740,3835
741,3840
742,3842
743,3847
744,3852
745,3857
746,3858
747,3861
748,3862
749,3864
750,3868
751,3872
752,3875
753,3875
754,3877
755,3881
756,3885
757,3891
758,3895
759,3902
760,3905
761,3906
762,3906
763,3908
764,3913
765,3917
766,3922
767,3925
768,3927
769,3930
770,3937
771,3940
772,3942
773,3945
774,3947
775,3948
776,3949
777,3954
778,3954
779,3958
780,3958
781,3958
782,3959
783,3961
784,3964
785,3966
786,3969
787,3972
788,3973
789,3978
790,3980
791,3980
792,3982
793,3986
794,3991
795,3998
796,4003
797,4004
798,4004
799,4007
800,4014
801,4017
802,4017
803,4024
804,4026
805,4031
806,4031
807,4032
808,4033
809,4035
810,4035
811,4036
812,4039
813,4044
814,4044
815,4044
816,4047
817,4048
818,4055
819,4060
820,4061
821,4061
822,4066
823,4067
824,4068
825,4074
826,4076
827,4076
828,4081
829,4083
830,4085
831,4086
832,4086
833,4087
834,4090
835,4093
836,4093
837,4093
838,4093
839,4097
840,4102
841,4102
842,4107
843,4107
844,4108
845,4109
846,4111
847,4112
848,4112
849,4113
850,4113
851,4116
852,4117
853,4118
854,4120
855,4121
856,4121
857,4122
858,4122
859,4123
860,4125
861,4126
862,4126
863,4129
864,4130
865,4134
866,4136
867,4138
868,4138
869,4140
870,4143
871,4147
872,4147
873,4150
874,4151
875,4156
876,4158
877,4159
878,4160
879,4162
880,4167
881,4171
882,4175
883,4175
884,4177
885,4179
886,4180
887,4182
888,4185
889,4186
890,4187
891,4190
892,4191
893,4196
894,4196
895,4199
896,4201
897,4204
898,4204
899,4206
900,4207
901,4208
902,4209
903,4215
904,4218
905,4218
906,4222
907,4223
908,4225
909,4227
910,4230
911,4239
912,4240
913,4243
914,4244
915,4247
916,4248
917,4255
918,4259
919,4259
920,4260
921,4264
922,4264
923,4267
924,4271
925,4271
926,4274
927,4275
928,4275
929,4279
930,4281
931,4282
932,4286
933,4287
934,4287
935,4289
936,4293
937,4294
938,4296
939,4300
940,4302
941,4305
942,4306
943,4306
944,4308
945,4312
946,4313
947,4315
948,4315
949,4318
950,4320
951,4322
952,4322
953,4323
954,4327
955,4328
956,4330
957,4332
958,4332
959,4336
960,4339
961,4340
962,4340
963,4341
964,4341
965,4343
966,4345
967,4348
968,4350
969,4352
970,4353
971,4358
972,4361
973,4361
974,4362
975,4364
976,4369
977,4371
978,4372
979,4379
980,4382
981,4384
982,4387
983,4388
984,4390
985,4392
986,4397
987,4397
988,4403
989,4404
990,4409
991,4413
992,4414
993,4414
994,4415
995,4416
996,4419
997,4422
998,4423
999,4423
1000,4425
